,count,mean,std,min,25%,50%,75%,max,sterling_ratio,market_condition,trading_frequency,strategy
0,4.0,0.5424159947958002,0.5953967929971627,-0.11598662417391134,0.1166349113391458,0.6039047841131506,1.0296858675698048,1.0778410351308108,5.2359470923205835,bull,hi,buyholdstrategy
1,4.0,0.7105729394478166,0.7372307085781333,-0.09099032309270583,0.1720653311241151,0.7899820628366627,1.3284896711603644,1.3533179552106471,6.948274523428923,bull,hi,buffedcoinstrategy
2,4.0,0.6669397252918853,0.6772790145127651,-0.09359312372950226,0.1906746729922602,0.7597196198686913,1.2359846721683163,1.2419127851596607,7.016104804361872,bull,hi,peakriderstrategy
3,4.0,0.5481171240929741,0.5910440315336087,-0.11598662417391134,0.13373829923066732,0.6153070427074983,1.0296858675698048,1.0778410351308108,6.274246226724633,bull,mid,buyholdstrategy
4,4.0,0.7124494385246449,0.7721504630986034,-0.13063273858421925,0.15537566297980027,0.7668856547257253,1.3239594302705702,1.4466591832313482,8.277778830205365,bull,mid,buffedcoinstrategy
5,4.0,0.6543354245000692,0.6660089814746812,-0.10362440009537748,0.19466132179262946,0.7413525752259229,1.2010266779333627,1.2382609476438087,7.244157161877458,bull,mid,peakriderstrategy
6,4.0,0.5481171240929741,0.5910440315336087,-0.11598662417391134,0.13373829923066732,0.6153070427074983,1.0296858675698048,1.0778410351308108,7.019373202426808,bull,lo,buyholdstrategy
7,4.0,0.7451986342488539,0.7997190022436792,-0.12363726945731413,0.1731887140654762,0.7737582675767776,1.3457681877601553,1.556915271299175,11.80234575723912,bull,lo,buffedcoinstrategy
8,4.0,0.6976526725670309,0.7425813833754972,-0.10480961647435255,0.16097141249656804,0.7274930164312484,1.2641742765017112,1.4404342738799791,11.577650128744684,bull,lo,peakriderstrategy
9,4.0,0.4738130807603065,0.533269726022879,-0.10847788717262402,0.09172884857892587,0.5022344773340476,0.8843187095154283,0.9992612555457547,11.836405921328875,bull,medieval,buyholdstrategy
10,4.0,0.4980841120762102,0.5521636472883342,-0.12979508340728935,0.11774000985623902,0.5604504885700945,0.9407945907900656,1.0012305545719409,12.30291138689708,bull,medieval,buffedcoinstrategy
11,4.0,0.5202672831503118,0.5811830548054261,-0.09730424965415901,0.09260271991448459,0.5373773148503157,0.965041878086143,1.103618752554775,14.477267185147985,bull,medieval,peakriderstrategy
12,4.0,-0.7619198896690368,0.2856640930195939,-1.0,-1.0,-0.80946377253175,-0.5713836622007867,-0.42875201361264736,-0.9760809644428788,bear,hi,buyholdstrategy
13,4.0,-0.6280173965692658,0.28567505581929026,-1.0,-0.7224175465527645,-0.6031030278326506,-0.5087028778491519,-0.305863530611762,-0.9131124205962811,bear,hi,buffedcoinstrategy
14,4.0,-0.6936424796230883,0.25203106820783117,-1.0,-0.8314445740377912,-0.6804408010796053,-0.5426387066649023,-0.41368831633314296,-0.984529030751765,bear,hi,peakriderstrategy
15,4.0,-0.16251346830366797,0.1876994899586604,-0.28476346024436044,-0.28391780555660645,-0.23844059966897063,-0.11703626241603217,0.11159078636762991,-0.547157343186101,bear,mid,buyholdstrategy
16,4.0,-0.12468512733619036,0.14456715287915287,-0.28178852733753973,-0.18677551134525996,-0.14239753511363473,-0.08030715110456513,0.06784308822004773,-0.4728621741019075,bear,mid,buffedcoinstrategy
17,4.0,-0.20031113792563737,0.1583925139273399,-0.34637689897850443,-0.3054887325620312,-0.2332087389120087,-0.12803114427561488,0.011549825099972214,-0.637281547016109,bear,mid,peakriderstrategy
18,4.0,-0.04100880419262578,0.2359209206167403,-0.1756774683426496,-0.1735725278422811,-0.14981370283004308,-0.017249979180387787,0.31126965723223265,-0.16457920297429757,bear,lo,buyholdstrategy
19,4.0,0.1661416012764437,0.29358546509772737,-0.1279393944798943,-0.04217643913540055,0.13605428256319094,0.34437232297503517,0.5203972344592873,0.7667185378872037,bear,lo,buffedcoinstrategy
20,4.0,0.024569778973974273,0.25513180924500567,-0.25419819267950955,-0.13715195393955498,0.011243175007112853,0.17296490792064212,0.32999095856118094,0.08500038473312284,bear,lo,peakriderstrategy
21,4.0,0.14795387977402738,0.3064436872866846,-0.14247846078058654,0.013508166778006689,0.07693847671069884,0.21138418970671954,0.5804170264552985,1.706460805225175,bear,medieval,buyholdstrategy
22,4.0,0.24085400419742514,0.33862729322973517,-0.12436449885099116,0.06023003384694289,0.20291239806592884,0.38353636841641114,0.681955719508834,3.099641649679691,bear,medieval,buffedcoinstrategy
23,4.0,0.18485441400367197,0.3181790576467149,-0.13780700852906397,0.03136142859451971,0.1282876206052895,0.28178060601444177,0.6206494233331729,2.227798358384599,bear,medieval,peakriderstrategy
